datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,Total_sales
1/24/2014,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,2014,1,276,Friday,52.61
1/25/2014,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,2014,1,276,Saturday,81.8
1/26/2014,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,2014,1,276,Sunday,34.01
1/27/2014,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,2014,1,276,Monday,56.81
1/28/2014,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,2014,1,276,Tuesday,58.52
1/29/2014,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,2014,1,276,Wednesday,39.33
1/30/2014,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,2014,1,276,Thursday,45.26
1/31/2014,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,2014,1,276,Friday,47.68
2/1/2014,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,2014,2,276,Saturday,84.65
2/2/2014,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,2014,2,276,Sunday,39.7
2/3/2014,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,2014,2,276,Monday,64.9
2/4/2014,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2014,2,276,Tuesday,69.93
2/5/2014,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2014,2,276,Wednesday,63.62
2/6/2014,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014,2,276,Thursday,80.91
2/7/2014,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,2,276,Friday,64.43
2/8/2014,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,2,276,Saturday,74.18
2/9/2014,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2014,2,276,Sunday,56.5
2/10/2014,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,276,Monday,90.93
2/11/2014,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,2,276,Tuesday,105.09
2/12/2014,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,2,276,Wednesday,107.36999999999999
2/13/2014,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2014,2,276,Thursday,84.1
2/14/2014,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2014,2,276,Friday,76.50999999999999
2/15/2014,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2014,2,276,Saturday,57.34
2/16/2014,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2014,2,276,Sunday,47.88
2/17/2014,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,2,276,Monday,72.03999999999999
2/18/2014,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2014,2,276,Tuesday,97.8
2/19/2014,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014,2,276,Wednesday,105.64999999999999
2/20/2014,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014,2,276,Thursday,66.72
2/21/2014,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2014,2,276,Friday,61.739999999999995
2/22/2014,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2014,2,276,Saturday,54.870000000000005
2/23/2014,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2014,2,276,Sunday,37.34
2/24/2014,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2014,2,276,Monday,50.68
2/25/2014,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,2,276,Tuesday,67.38
2/26/2014,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2014,2,276,Wednesday,62.01
2/27/2014,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014,2,276,Thursday,58.540000000000006
2/28/2014,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2014,2,276,Friday,71.66
3/1/2014,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,3,276,Saturday,82.175
3/2/2014,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2014,3,276,Sunday,15.94
3/3/2014,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2014,3,276,Monday,36.580000000000005
3/4/2014,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2014,3,276,Tuesday,84.835
3/5/2014,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2014,3,276,Wednesday,37.34
3/6/2014,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014,3,276,Thursday,78.6
3/7/2014,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2014,3,276,Friday,48.84
3/8/2014,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2014,3,276,Saturday,47.010000000000005
3/9/2014,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2014,3,276,Sunday,24.3
3/10/2014,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2014,3,276,Monday,75.83
3/11/2014,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014,3,276,Tuesday,68.1
3/12/2014,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014,3,276,Wednesday,64.12
3/13/2014,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2014,3,276,Thursday,65.47
3/14/2014,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2014,3,276,Friday,37.22
3/15/2014,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,3,276,Saturday,67.3
3/16/2014,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2014,3,276,Sunday,29.08
3/17/2014,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2014,3,276,Monday,64.02
3/18/2014,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2014,3,276,Tuesday,50.1
3/19/2014,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2014,3,276,Wednesday,36.82
3/20/2014,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2014,3,276,Thursday,64.34
3/21/2014,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2014,3,276,Friday,61.18
3/22/2014,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2014,3,276,Saturday,70.38000000000001
3/23/2014,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2014,3,276,Sunday,35.739999999999995
3/24/2014,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2014,3,276,Monday,50.78
3/25/2014,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2014,3,276,Tuesday,61.94
3/26/2014,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2014,3,276,Wednesday,35.03
3/27/2014,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014,3,276,Thursday,40.03
3/28/2014,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2014,3,276,Friday,40.67
3/29/2014,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014,3,276,Saturday,60.53
3/30/2014,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2014,3,276,Sunday,28.34
3/31/2014,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014,3,276,Monday,44.08
4/1/2014,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,4,276,Tuesday,51.68
4/2/2014,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,4,276,Wednesday,49.58
4/3/2014,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,4,276,Thursday,32.54
4/4/2014,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,4,276,Friday,55.67
4/5/2014,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,4,276,Saturday,58.28
4/6/2014,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,4,276,Sunday,25.0
4/7/2014,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,4,276,Monday,55.34
4/8/2014,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,4,276,Tuesday,39.08
4/9/2014,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,4,276,Wednesday,33.62
4/10/2014,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,4,276,Thursday,42.01
4/11/2014,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,4,276,Friday,44.0
4/12/2014,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,4,276,Saturday,73.86
4/13/2014,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,4,276,Sunday,23.0
4/14/2014,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,4,276,Monday,59.65
4/15/2014,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,4,276,Tuesday,55.44
4/16/2014,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,4,276,Wednesday,43.83
4/17/2014,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,4,276,Thursday,47.879999999999995
4/18/2014,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,4,276,Friday,61.3
4/19/2014,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,4,276,Saturday,51.99
4/20/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,276,Sunday,0.0
4/21/2014,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,4,276,Monday,27.62
4/22/2014,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,4,276,Tuesday,57.805
4/23/2014,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,4,276,Wednesday,48.58
4/24/2014,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,4,276,Thursday,45.1
4/25/2014,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,4,276,Friday,49.92
4/26/2014,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,4,276,Saturday,70.50999999999999
4/27/2014,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,4,276,Sunday,38.54
4/28/2014,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,4,276,Monday,48.53
4/29/2014,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,4,276,Tuesday,54.449999999999996
4/30/2014,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,4,276,Wednesday,79.12
5/1/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5,276,Thursday,0.0
5/2/2014,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2014,5,276,Friday,91.48
5/3/2014,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2014,5,276,Saturday,35.44
5/4/2014,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2014,5,276,Sunday,33.56
5/5/2014,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2014,5,276,Monday,47.785
5/6/2014,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2014,5,276,Tuesday,60.7
5/7/2014,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2014,5,276,Wednesday,52.45
5/8/2014,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2014,5,276,Thursday,46.14
5/9/2014,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2014,5,276,Friday,44.2
5/10/2014,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2014,5,276,Saturday,83.4
5/11/2014,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2014,5,276,Sunday,34.68
5/12/2014,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2014,5,276,Monday,43.68
5/13/2014,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2014,5,276,Tuesday,81.72
5/14/2014,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2014,5,276,Wednesday,42.32
5/15/2014,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2014,5,276,Thursday,36.66
5/16/2014,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2014,5,276,Friday,60.34
5/17/2014,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2014,5,276,Saturday,65.02
5/18/2014,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2014,5,276,Sunday,26.740000000000002
5/19/2014,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2014,5,276,Monday,48.08
5/20/2014,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2014,5,276,Tuesday,51.975
5/21/2014,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2014,5,276,Wednesday,41.58
5/22/2014,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2014,5,276,Thursday,28.21
5/23/2014,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2014,5,276,Friday,55.74
5/24/2014,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2014,5,276,Saturday,61.713
5/25/2014,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2014,5,276,Sunday,27.0
5/26/2014,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2014,5,276,Monday,44.42
5/27/2014,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2014,5,276,Tuesday,55.94
5/28/2014,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2014,5,276,Wednesday,34.14
5/29/2014,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2014,5,276,Thursday,57.64
5/30/2014,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2014,5,276,Friday,47.54
5/31/2014,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2014,5,276,Saturday,66.00999999999999
6/1/2014,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,6,276,Sunday,21.68
6/2/2014,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,6,276,Monday,63.64
6/3/2014,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,6,276,Tuesday,48.4
6/4/2014,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,6,276,Wednesday,42.68
6/5/2014,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,6,276,Thursday,41.019999999999996
6/6/2014,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,6,276,Friday,49.305
6/7/2014,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,6,276,Saturday,75.18
6/8/2014,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,6,276,Sunday,33.0
6/9/2014,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,6,276,Monday,62.67
6/10/2014,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,6,276,Tuesday,65.16
6/11/2014,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,6,276,Wednesday,58.82
6/12/2014,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,6,276,Thursday,41.14
6/13/2014,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,6,276,Friday,33.68
6/14/2014,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,6,276,Saturday,37.019999999999996
6/15/2014,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,6,276,Sunday,18.64
6/16/2014,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,6,276,Monday,49.28
6/17/2014,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,6,276,Tuesday,42.34
6/18/2014,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,6,276,Wednesday,36.7
6/19/2014,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,6,276,Thursday,30.33
6/20/2014,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,6,276,Friday,44.86
6/21/2014,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,6,276,Saturday,47.68
6/22/2014,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,6,276,Sunday,40.019999999999996
6/23/2014,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,6,276,Monday,55.22
6/24/2014,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,276,Tuesday,57.34
6/25/2014,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2014,6,276,Wednesday,74.14
6/26/2014,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,6,276,Thursday,50.6
6/27/2014,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2014,6,276,Friday,60.64
6/28/2014,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2014,6,276,Saturday,51.68
6/29/2014,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2014,6,276,Sunday,14.0
6/30/2014,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2014,6,276,Monday,43.34
7/1/2014,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2014,7,276,Tuesday,39.68
7/2/2014,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2014,7,276,Wednesday,44.94
7/3/2014,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2014,7,276,Thursday,38.51
7/4/2014,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2014,7,276,Friday,45.54
7/5/2014,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2014,7,276,Saturday,62.68
7/6/2014,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2014,7,276,Sunday,28.2
7/7/2014,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2014,7,276,Monday,37.34
7/8/2014,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2014,7,276,Tuesday,34.68
7/9/2014,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2014,7,276,Wednesday,39.540000000000006
7/10/2014,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,7,276,Thursday,77.19
7/11/2014,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2014,7,276,Friday,46.379999999999995
7/12/2014,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,7,276,Saturday,80.62
7/13/2014,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2014,7,276,Sunday,23.34
7/14/2014,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2014,7,276,Monday,46.84
7/15/2014,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2014,7,276,Tuesday,40.919999999999995
7/16/2014,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2014,7,276,Wednesday,40.34
7/17/2014,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2014,7,276,Thursday,51.0
7/18/2014,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2014,7,276,Friday,40.04
7/19/2014,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2014,7,276,Saturday,50.75
7/20/2014,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2014,7,276,Sunday,17.44
7/21/2014,3.0,4.68,8.0,20.0,13.0,1.0,0.0,2.0,2014,7,276,Monday,51.68
7/22/2014,5.0,5.68,3.0,9.0,7.0,0.0,1.0,2.0,2014,7,276,Tuesday,32.68
7/23/2014,2.67,6.37,2.0,8.0,19.0,0.0,0.0,3.0,2014,7,276,Wednesday,41.04
7/24/2014,5.34,2.0,4.4,23.0,5.0,0.0,0.0,2.0,2014,7,276,Thursday,41.74
7/25/2014,5.0,2.02,7.5,10.0,15.0,1.0,1.0,2.0,2014,7,276,Friday,43.519999999999996
7/26/2014,4.0,6.68,6.2,36.2,13.0,0.0,0.0,4.0,2014,7,276,Saturday,70.08
7/27/2014,3.0,1.34,2.0,10.0,5.0,0.0,6.0,1.0,2014,7,276,Sunday,28.34
7/28/2014,2.0,1.34,2.0,9.1,9.0,0.0,0.0,2.0,2014,7,276,Monday,25.439999999999998
7/29/2014,2.34,0.68,1.0,13.0,15.0,3.0,0.0,5.0,2014,7,276,Tuesday,40.019999999999996
7/30/2014,0.68,1.34,5.0,13.5,14.0,0.0,6.0,4.5,2014,7,276,Wednesday,45.019999999999996
7/31/2014,3.0,0.34,4.0,10.5,8.0,0.0,0.0,1.0,2014,7,276,Thursday,26.84
8/1/2014,2.0,1.0,2.2,14.0,17.0,1.0,0.0,1.0,2014,8,276,Friday,38.2
8/2/2014,5.0,2.01,6.0,29.0,12.0,0.0,5.0,3.0,2014,8,276,Saturday,62.01
8/3/2014,5.0,1.0,3.0,6.0,5.0,5.0,0.0,0.0,2014,8,276,Sunday,25.0
8/4/2014,4.0,5.02,6.0,21.5,14.0,0.0,0.0,4.0,2014,8,276,Monday,54.519999999999996
8/5/2014,2.0,1.34,3.0,17.1,9.0,0.0,0.0,0.0,2014,8,276,Tuesday,32.44
8/6/2014,6.0,5.0,1.4,17.0,7.0,1.0,1.0,1.0,2014,8,276,Wednesday,39.4
8/7/2014,3.34,2.68,3.0,33.0,13.0,1.0,0.0,2.0,2014,8,276,Thursday,58.019999999999996
8/8/2014,5.02,4.02,5.0,13.0,12.0,3.0,2.0,2.0,2014,8,276,Friday,46.04
8/9/2014,4.0,1.34,6.0,19.0,24.0,3.0,0.0,5.9,2014,8,276,Saturday,63.24
8/10/2014,4.0,0.34,4.0,3.0,4.0,0.0,0.0,2.0,2014,8,276,Sunday,17.34
8/11/2014,8.0,5.36,9.2,20.0,18.0,0.0,0.0,2.0,2014,8,276,Monday,62.56
8/12/2014,0.0,1.36,4.5,10.0,8.0,1.0,0.0,4.6,2014,8,276,Tuesday,29.46
8/13/2014,1.34,3.34,1.0,20.3,11.0,0.0,0.0,7.0,2014,8,276,Wednesday,43.980000000000004
8/14/2014,4.0,2.34,6.0,14.4,13.0,0.0,0.0,6.0,2014,8,276,Thursday,45.74
8/15/2014,4.34,4.02,7.0,13.2,15.0,2.0,3.0,2.0,2014,8,276,Friday,50.56
8/16/2014,8.0,2.43,5.0,19.0,27.0,2.0,0.0,1.0,2014,8,276,Saturday,64.43
8/17/2014,0.34,0.68,2.0,6.5,7.0,0.0,0.0,1.0,2014,8,276,Sunday,17.52
8/18/2014,4.34,6.0,3.1,16.5,21.0,3.0,10.0,2.0,2014,8,276,Monday,65.94
8/19/2014,11.34,6.35,5.0,16.1,13.0,1.0,3.0,1.1,2014,8,276,Tuesday,56.89
8/20/2014,5.34,5.34,1.4,9.0,10.0,2.0,0.0,1.0,2014,8,276,Wednesday,34.08
8/21/2014,3.0,1.0,2.0,18.0,16.0,1.0,0.0,2.2,2014,8,276,Thursday,43.2
8/22/2014,6.34,1.34,5.0,19.0,15.0,0.0,0.0,1.0,2014,8,276,Friday,47.68
8/23/2014,3.0,3.02,1.0,25.6,5.0,0.0,0.0,4.0,2014,8,276,Saturday,41.620000000000005
8/24/2014,3.0,2.175,3.0,7.0,12.0,0.0,1.0,0.0,2014,8,276,Sunday,28.175
8/25/2014,4.01,3.175,3.0,21.2,21.0,0.0,0.0,0.0,2014,8,276,Monday,52.385
8/26/2014,2.34,5.34,3.0,31.0,14.0,1.0,1.0,3.0,2014,8,276,Tuesday,60.68
8/27/2014,3.34,8.02,4.0,21.0,14.0,0.0,0.0,3.0,2014,8,276,Wednesday,53.36
8/28/2014,2.34,5.36,6.0,32.67,19.0,0.0,4.0,0.0,2014,8,276,Thursday,69.37
8/29/2014,6.34,3.68,5.0,26.28,18.0,1.0,0.0,3.0,2014,8,276,Friday,63.3
8/30/2014,3.68,3.02,7.0,13.0,13.0,1.0,0.0,4.0,2014,8,276,Saturday,44.7
8/31/2014,0.0,2.68,1.0,15.0,13.0,0.0,7.0,2.0,2014,8,276,Sunday,40.68
9/1/2014,3.34,1.715,1.0,15.5,15.0,0.0,0.0,5.5,2014,9,276,Monday,42.055
9/2/2014,2.34,4.68,5.2,20.14,7.0,0.0,2.0,3.0,2014,9,276,Tuesday,44.36
9/3/2014,7.0,6.34,4.0,22.18,12.0,0.0,2.0,3.0,2014,9,276,Wednesday,56.519999999999996
9/4/2014,5.68,5.34,3.0,17.6,21.0,1.0,0.0,1.0,2014,9,276,Thursday,54.620000000000005
9/5/2014,4.0,0.779,3.0,15.6,15.0,2.0,0.0,2.0,2014,9,276,Friday,42.379
9/6/2014,5.34,5.0,2.4,15.7,30.0,2.0,5.0,3.1,2014,9,276,Saturday,68.53999999999999
9/7/2014,2.0,5.515,5.0,7.0,9.0,0.0,0.0,1.0,2014,9,276,Sunday,29.515
